,latitude,longitude,date,float_id,temp_mean,temp_median,temp_std_dev,salinity_mean,salinity_max,pressure_max
62,-11.6211,104.5053,2025-01-01,b'0809                            ',7.245983,5.4230003,5.31129,34.730984,34.829,2002.11
67,-35.445,108.574,2025-01-01,b'8719                            ',10.677345,10.034,3.5508037,34.920853,35.8728,1997.895
68,14.368,85.008,2025-01-01,b'P32800-19CH023                  ',12.1718235,8.625999,8.762654,34.67495,35.03978,1985.0
69,-6.137,80.385,2025-01-01,b'P32800-19CH024                  ',11.031509,7.5985003,8.660246,34.717514,35.04226,1979.9
70,10.409,90.556,2025-01-01,b'P32800-19CH021                  ',12.331372,8.7055,9.290893,34.606663,35.03803,1980.6
71,14.518,83.161,2025-01-01,b'P32800-19CH019                  ',11.513031,8.573,8.092426,34.73916,35.0918,1985.6
72,-1.968,87.333,2025-01-01,b'P32800-19CH018                  ',11.6931715,7.964,9.245842,34.918957,35.21568,1981.8
73,-39.967,52.6287,2025-01-01,b'10090                           ',12.89506,13.199,3.1235607,35.1548,35.588,2000.18
74,-48.1011,131.72639,2025-01-01,b'8896                            ',6.3078356,5.984,2.8974214,34.518105,34.67881,2008.04
75,-30.36926,49.87977,2025-01-01,b'6106                            ',6.5858884,4.066,5.5091166,34.78871,35.6689,4952.8
76,-30.36661,49.88099,2025-01-01,b'6106                            ',11.060304,11.919,5.9734097,35.073067,35.6639,4544.1
79,-18.5562,110.9216,2025-01-02,b'1062                            ',8.888813,6.158,6.3108783,34.771755,35.445,1998.21
80,-48.3778,116.6238,2025-01-02,b'1083                            ',4.372056,3.357,2.0905886,34.455204,34.7351,1999.88
81,-51.16643142700195,134.11700439453125,2025-01-02,b'8858                            ',3.771221,2.9606,1.6252762,34.436214,34.741,2002.71
83,-48.29625950189945,95.36181646230278,2025-01-02,b'9029                            ',3.5835643,2.8817,1.5055511,34.45728,34.7427,1995.93
84,-2.1986,43.1391,2025-01-02,b'0962                            ',8.02971,7.089,5.5277967,34.93737,35.181,2009.7
85,-48.67276,80.50236,2025-01-02,b'7438                            ',2.8816903,2.558,0.9918748,34.48865,34.766,2003.28
86,-65.60564422607422,106.71989440917969,2025-01-02,b'9754                            ',-1.7673079,-1.8606501,0.3123239,34.476498,34.5776,722.45
87,-28.5216,37.6488,2025-01-02,b'10076                           ',12.52488,10.879999,5.7972517,34.97635,35.546,1798.77
89,-37.0819091796875,104.16924285888672,2025-01-02,b'9281                            ',6.7253275,5.1018,4.004491,34.677658,35.5185,1995.86
91,2.0204,73.8649,2025-01-02,b'1485                            ',12.022438,9.985,5.926686,35.017937,35.945,1949.1
92,19.183132,65.245377,2025-01-02,b'558220                          ',9.845365,8.7577,5.5826654,35.43448,36.722,1995.44
93,-13.7517,75.9327,2025-01-02,b'1243                            ',7.7725906,5.741,5.994232,34.748642,35.45567,2007.62
94,23.880983333333333,63.391598333333334,2025-01-02,b'AI2600-21FR122                  ',12.70534,11.7439995,5.8989863,35.77183,36.803,2017.7
96,-17.731,96.1065,2025-01-02,b'1503                            ',11.677596,9.584,6.5894856,34.879852,35.696,1998.19
98,-38.822,117.058,2025-01-02,b'7770                            ',9.9844,9.595,2.565822,34.765743,35.292,1599.02
99,-39.80316,58.42516,2025-01-02,b'8877                            ',7.7482758,6.271,4.58869,34.75976,35.52455,2005.8
102,11.868643333333333,46.94810833333333,2025-01-02,b'AI2600-21FR121                  ',13.441707,13.864,4.9387374,35.774,36.357,1881.7
103,-3.0309,76.435,2025-01-02,b'1482                            ',10.945992,9.34,5.1011133,34.922134,35.215,1949.44
104,-18.07099,57.98156,2025-01-02,b'8491                            ',8.5206,5.616,6.70756,34.839596,35.6376,2005.44
105,-47.46,78.824,2025-01-02,b'9259                            ',4.3906565,3.981,1.3920646,34.193253,34.67494,1599.45
106,-51.7254,33.9041,2025-01-02,b'1483                            ',2.0696204,2.092,0.52575165,34.4412,34.761,2002.5
107,14.566666666666666,89.58333333333333,2025-01-02,b'23005                           ',11.607417,8.364,8.513213,34.63504,35.034,2029.2
110,-9.633333333333333,79.65,2025-01-02,b'23037                           ',11.544233,7.008,9.702397,34.64254,35.0056,2005.6
111,17.666666666666668,70.45,2025-01-02,b'23015                           ',12.9601345,10.8855,8.1970415,35.440292,36.42848,2029.6
112,20.366666666666667,62.766666666666666,2025-01-02,b'23018                           ',13.17771,11.237,7.711573,35.6504,36.6,2005.2
114,-39.16169,113.57939,2025-01-02,b'8895                            ',6.455503,5.488,3.4392495,34.58827,34.87925,2010.04
115,-66.02377319335938,95.22974395751953,2025-01-02,b'10343                           ',-1.660618,-1.7924,0.3486791,34.39161,34.4557,637.46
116,19.15,65.38333333333334,2025-01-02,b'23016                           ',12.88766,10.8195,7.634273,35.65344,36.629,1969.9
119,-0.051,78.683,2025-01-02,b'P32800-19CH027                  ',11.526839,8.166,8.7275715,34.93518,35.22864,1979.4
120,-55.56069,101.79051,2025-01-02,b'6042                            ',1.3118453,1.4189999,0.5917227,34.630264,34.73892,3880.6
122,-39.439,56.811,2025-01-02,b'46                              ',4.162677,2.5209,4.117122,34.130196,34.56976,4511.1
123,-40.955,137.32,2025-01-02,b'8714                            ',8.830059,9.206,2.1347144,34.6241,34.87884,1998.58
126,-28.0225,102.8901,2025-01-02,b'1052                            ',7.771776,5.073,5.3813815,34.8015,35.873,1948.73
128,-56.4865,117.6993,2025-01-02,b'10081                           ',2.1131756,2.246,0.5026341,34.440277,34.74147,1701.12
129,-37.60656,116.78474,2025-01-02,b'6070                            ',5.220471,3.387,3.8570807,34.645817,35.1129,5155.5
130,-37.60663,116.78335,2025-01-02,b'6070                            ',8.372609,9.6695,4.1585784,34.763264,35.0999,4828.9
131,-55.059,137.398,2025-01-02,b'9951                            ',2.5559912,2.4672,0.6805994,34.479576,34.7444,2016.11
133,-35.42702,108.15318,2025-01-02,b'8505                            ',7.2750535,5.4255,4.724604,34.742573,35.9144,2003.12
135,18.028463,61.149529,2025-01-02,b'8669                            ',10.241963,9.0777,5.73836,35.492535,36.53099,1981.69
136,-31.1079,112.37,2025-01-02,b'0843                            ',6.542605,4.2250004,4.456563,34.71909,35.80626,2001.33
